State,Sales Tax,Federal Fuel Tax,State Fuel Tax,Registration Fees,Title Fees,Inspection Fees,Total
Alabama,1778.8,898.1694915,1020.20339,276,15,0,2209.372882
Alaska,833.8125,898.1694915,390.5084746,600,15,0,1903.677966
Arizona,2256.8525,898.1694915,927.4576271,1001.1765,4,120,2950.803619
Arkansas,1945.5625,898.1694915,1064.135593,330,5,0,2297.305085
California,1889.975,898.1694915,2465.084746,552,18,241.5,4174.754238
Colorado,1423.04,898.1694915,1073.898305,2351.530125,9.05,310,4642.647922
Connecticut,1411.9225,898.1694915,2196.610169,480,25,130,3729.779661
Delaware,0,898.1694915,1122.711864,480,35,0,2535.881356
Florida,1500.8625,898.1694915,1708.474576,591,77.25,0,3274.894068
Georgia,1445.275,898.1694915,1396.067797,240,18,100,2652.237289
Hawaii,944.9875,898.1694915,2382.101695,827.1,5,150,4262.371187
Idaho,1667.625,898.1694915,1220.338983,384,14,66,2582.508475
Illinois,1862.18125,898.1694915,2074.576271,1188,95,160,4415.745763
Indiana,1556.45,898.1694915,2011.118644,252.6,15,0,3176.888136
Iowa,1556.45,898.1694915,1073.898305,2302.685,25,0,4299.752797
Kansas,1956.68,898.1694915,1220.338983,420,10,20,2568.508475
Kentucky,1334.1,898.1694915,1459.525424,252,10,0,2619.694916
Louisiana,1639.83125,898.1694915,976.2711864,314.82,18.5,120,2327.760678
Maine,1111.75,898.1694915,1537.627119,420,33,222,3110.796611
Maryland,1334.1,898.1694915,1147.118644,1536,100,140,3821.288136
Massachusetts,1389.6875,898.1694915,1147.118644,210,75,348,2678.288136
Michigan,1334.1,898.1694915,2055.050847,1001.268,15,0,3969.488339
Minnesota,1639.83125,898.1694915,1396.067797,1986.858654,13.75,0,4294.845943
Mississippi,1584.24375,898.1694915,917.6949153,168,9,60,2052.864407
Missouri,1732.662375,898.1694915,844.4745763,657,11,432,2842.644068
Montana,0,898.1694915,1357.016949,1446,12,0,3713.186441
Nebraska,1445.275,898.1694915,1322.847458,180,10,10,2421.01695
Nevada,1662.06625,898.1694915,1615.728814,396,28.25,474,3412.148306
New Hampshire,0,898.1694915,956.7457627,518.4,25,240,2638.315254
New Jersey,1556.45,898.1694915,707.7966102,583,60,0,2248.966102
New Mexico,1778.8,898.1694915,922.5762712,667,3,180,2670.745763
New York,1445.275,898.1694915,2504.135593,681.2,55,444,4582.505085
North Carolina,1612.0375,898.1694915,1845.152542,336,40,523.2,3642.522034
North Dakota,1445.275,898.1694915,1122.711864,804,5,0,2829.881356
Ohio,1473.06875,898.1694915,1366.779661,408,16,0,2688.949153
Oklahoma,1706.53625,898.1694915,829.8305085,992,11,0,2731
Oregon,0,898.1694915,1513.220339,516,77,121,3125.389831
Pennsylvania,1556.45,898.1694915,1576.677966,432,22.5,612,3541.347458
Rhode Island,1556.45,898.1694915,1610.847458,360,51.5,19.5,2940.01695
South Carolina,1667.625,898.1694915,820.0677966,288,15,0,2021.237288
South Dakota,1111.75,898.1694915,1171.525424,566.1,5,0,2640.794916
Tennessee,2028.94375,898.1694915,1044.610169,288,13,120,2363.779661
Texas,1612.0375,898.1694915,976.2711864,609,13,327,2823.440678
Utah,1739.88875,898.1694915,1195.932203,516,6,337,2953.101695
Vermont,1445.275,898.1694915,1293.559322,924,33,60,3208.728814
Virginia,1167.3375,898.1694915,981.1525424,489,10,360,2738.322034
Washington,1834.3875,898.1694915,1830.508475,525,25.5,90,3369.177967
West Virginia,1445.275,898.1694915,1630.372881,360,10,148.32,3046.862373
Wisconsin,1278.5125,898.1694915,1605.966102,900,69.5,0,3473.635594
Wyoming,1334.1,898.1694915,683.3898305,2214.5025,9,9,3814.061822
