State,Sales Tax,Federal Fuel Tax,State Fuel Tax,Registration Fees,Title Fees,Inspection Fees,Total
Alabama,1453.2,804.1274659,913.383915,276,15,0,2008.511381
Alaska,681.1875,804.1274659,349.6206373,600,15,0,1768.748103
Arizona,1843.7475,804.1274659,830.3490137,838.7835,4,120,2597.25998
Arkansas,1589.4375,804.1274659,952.7162367,234,5,0,1995.843703
California,1544.025,804.1274659,2206.980273,552,18,241.5,3822.607739
Colorado,1162.56,804.1274659,961.4567527,2076.499875,9.05,310,4161.134094
Connecticut,1153.4775,804.1274659,1966.616085,480,25,130,3405.743551
Delaware,0,804.1274659,1005.159332,480,35,0,2324.286798
Florida,1226.1375,804.1274659,1529.590288,591,77.25,0,3001.967754
Georgia,1180.725,804.1274659,1249.893778,240,18,100,2412.021244
Hawaii,772.0125,804.1274659,2132.685888,793.35,5,150,3885.163354
Idaho,1362.375,804.1274659,1092.564492,384,14,66,2360.691958
Illinois,1521.31875,804.1274659,1857.359636,1188,95,160,4104.487102
Indiana,1271.55,804.1274659,1800.546282,252.6,15,0,2872.273748
Iowa,1271.55,804.1274659,961.4567527,1899.535,25,0,3690.119219
Kansas,1598.52,804.1274659,1092.564492,420,10,20,2346.691958
Kentucky,1089.9,804.1274659,1306.707132,252,10,0,2372.834598
Louisiana,1339.66875,804.1274659,874.0515933,265.98,18.5,120,2082.659059
Maine,908.25,804.1274659,1376.631259,420,33,222,2855.758725
Maryland,1089.9,804.1274659,1027.010622,1536,100,140,3607.138088
Massachusetts,1135.3125,804.1274659,1027.010622,210,75,348,2464.138088
Michigan,1089.9,804.1274659,1839.878604,815.848,15,0,3474.85407
Minnesota,1339.66875,804.1274659,1249.893778,1658.910577,13.75,0,3726.681821
Mississippi,1294.25625,804.1274659,821.6084977,168,9,60,1862.735964
Missouri,1415.507625,804.1274659,756.0546282,657,11,432,2660.182094
Montana,0,804.1274659,1214.931715,1446,12,0,3477.059181
Nebraska,1180.725,804.1274659,1184.339909,180,10,10,2188.467375
Nevada,1357.83375,804.1274659,1446.555387,396,28.25,474,3148.932853
New Hampshire,0,804.1274659,856.5705615,374.4,25,240,2300.098027
New Jersey,1271.55,804.1274659,633.6874052,583,60,0,2080.814871
New Mexico,1453.2,804.1274659,825.9787557,484,3,180,2297.106222
New York,1180.725,804.1274659,2241.942337,583.23125,55,444,4128.301053
North Carolina,1316.9625,804.1274659,1651.957511,336,40,523.2,3355.284977
North Dakota,1180.725,804.1274659,1005.159332,804,5,0,2618.286798
Ohio,1203.43125,804.1274659,1223.672231,408,16,0,2451.799697
Oklahoma,1394.16375,804.1274659,742.9438543,992,11,0,2550.07132
Oregon,0,804.1274659,1354.77997,516,77,121,2872.907436
Pennsylvania,1271.55,804.1274659,1411.593323,432,22.5,612,3282.220789
Rhode Island,1271.55,804.1274659,1442.185129,360,51.5,19.5,2677.312595
South Carolina,1362.375,804.1274659,734.2033384,288,15,0,1841.330804
South Dakota,908.25,804.1274659,1048.861912,566.1,5,0,2424.089378
Tennessee,1657.55625,804.1274659,935.2352049,288,13,120,2160.362671
Texas,1316.9625,804.1274659,874.0515933,609,13,327,2627.179059
Utah,1421.41125,804.1274659,1070.713202,516,6,337,2733.840668
Vermont,1180.725,804.1274659,1158.118361,924,33,60,2979.245827
Virginia,953.6625,804.1274659,878.4218513,489,10,360,2541.549317
Washington,1498.6125,804.1274659,1638.846737,525,25.5,90,3083.474203
West Virginia,1180.725,804.1274659,1459.666161,360,10,148.32,2782.113627
Wisconsin,1044.4875,804.1274659,1437.814871,900,69.5,0,3211.442337
Wyoming,1089.9,804.1274659,611.8361153,1842.0975,9,9,3276.061081
