Date,Chevrolet Volt,Nissan Leaf,Smart ED,Mitsubishi i,BMW Active E,Toyota Prius PHV,Ford Focus Electric,Honda Fit EV,Tesla Model S,Toyota RAV4 EV,Ford C-MAX Energi,Honda Accord,Ford Fusion Energi,Chevrolet Spark
12-1-2010,326,19,,,,,,,,,,,,
1-1-2011,321,87,,,,,,,,,,,,
2-1-2011,281,67,,,,,,,,,,,,
3-1-2011,608,298,,,,,,,,,,,,
4-1-2011,493,573,,,,,,,,,,,,
5-1-2011,481,1142,8,,,,,,,,,,,
6-1-2011,561,1708,,,,,,,,,,,,
7-1-2011,125,931,1,,,,,,,,,,,
8-1-2011,302,1362,1,,,,,,,,,,,
9-1-2011,723,1031,,,,,,,,,,,,
10-1-2011,1108,849,17,,,,,,,,,,,
11-1-2011,1139,672,101,,,,,,,,,,,
12-1-2011,1529,954,182,76,,,,,,,,,,
1-1-2012,603,676,,36,112,,,,,,,,,
2-1-2012,1023,478,2,44,115,,,,,,,,,
3-1-2012,2289,579,,56,326,911,,,,,,,,
4-1-2012,1462,370,,79,326,1654,,,,,,,,
5-1-2012,1680,510,,85,11,1086,6,,,,,,,
6-1-2012,1760,535,127,33,79,695,89,,,,,,,
7-1-2012,1849,395,6,33,,688,38,7,,,,,,
8-1-2012,2831,685,1,37,,1047,34,9,71,,,,,
9-1-2012,2851,984,,36,,1652,59,16,150,61,,,,
10-1-2012,2961,1579,,30,-2,1889,118,16,450,47,144,,,
11-1-2012,1519,1539,3,42,-2,1766,172,26,800,32,1259,,,
12-1-2012,2633,1489,,77,,1361,167,19,900,52,971,,,
1-1-2013,1140,650,1,257,,874,81,8,1300,25,338,2,,
2-1-2013,1626,653,1,337,,693,158,15,1500,52,334,17,119,
3-1-2013,1478,2236,,31,,786,180,23,1950,133,494,26,295,
4-1-2013,1306,1937,,127,,599,147,22,2100,70,411,55,364,
5-1-2013,1607,2138,60,91,,678,157,15,2000,84,450,58,416,
6-1-2013,2698,2225,53,39,,584,177,208,1800,44,455,42,390,27
7-1-2013,1788,1864,58,46,,817,150,63,1550,109,433,54,407,103
8-1-2013,3351,2420,182,30,,1791,66,66,1700,231,621,44,600,102
9-1-2013,1766,1953,137,20,,1152,110,35,1100,167,758,51,750,78
