State,Sales Tax,Federal Fuel Tax,State Fuel Tax,Registration Fees,Title Fees,Inspection Fees,Total
Alabama,1893.6,1344.974619,1527.715736,276,15,0,3163.690355
Alaska,887.625,1344.974619,584.7715736,600,15,0,2544.746193
Arizona,2402.505,1344.974619,1388.832487,1058.433,4,120,3916.240106
Arkansas,2071.125,1344.974619,1593.502538,390,5,0,3333.477157
California,2011.95,1344.974619,3691.370558,552,18,241.5,5847.845177
Colorado,1514.88,1344.974619,1608.121827,2448.50025,9.05,310,5720.646696
Connecticut,1503.045,1344.974619,3289.340102,480,25,130,5269.314721
Delaware,0,1344.974619,1681.218274,480,35,0,3541.192893
Florida,1597.725,1344.974619,2558.375635,753,77.25,0,4733.600254
Georgia,1538.55,1344.974619,2090.558376,240,18,100,3793.532995
Hawaii,1005.975,1344.974619,3567.106599,1102.2,5,150,6169.281218
Idaho,1775.25,1344.974619,1827.411168,384,14,66,3636.385787
Illinois,1982.3625,1344.974619,3106.598985,1188,95,160,5894.573604
Indiana,1656.9,1344.974619,3011.573604,252.6,15,0,4624.148223
Iowa,1656.9,1344.974619,1608.121827,2504.79,25,0,5482.886446
Kansas,2082.96,1344.974619,1827.411168,540,10,20,3742.385787
Kentucky,1420.2,1344.974619,2185.583756,252,10,0,3792.558375
Louisiana,1745.6625,1344.974619,1461.928934,332.04,18.5,120,3277.443553
Maine,1183.5,1344.974619,2302.538071,420,33,222,4322.51269
Maryland,1420.2,1344.974619,1717.766497,2160,100,140,5462.741116
Massachusetts,1479.375,1344.974619,1717.766497,210,75,348,3695.741116
Michigan,1420.2,1344.974619,3077.360406,1047.623,15,0,5484.958025
Minnesota,1745.6625,1344.974619,2090.558376,2102.486538,13.75,0,5551.769533
Mississippi,1686.4875,1344.974619,1374.213198,168,9,60,2956.187817
Missouri,1844.48475,1344.974619,1264.568528,657,11,432,3709.543147
Montana,0,1344.974619,2032.081218,1446,12,0,4835.055837
Nebraska,1538.55,1344.974619,1980.913706,180,10,10,3525.888325
Nevada,1769.3325,1344.974619,2419.492386,396,28.25,474,4662.717005
New Hampshire,0,1344.974619,1432.690355,518.4,25,240,3561.064974
New Jersey,1656.9,1344.974619,1059.898477,883,60,0,3347.873096
New Mexico,1893.6,1344.974619,1381.522843,667,3,180,3576.497462
New York,1538.55,1344.974619,3749.847716,1071.76875,55,444,6665.591085
North Carolina,1716.075,1344.974619,2763.045685,336,40,523.2,5007.220304
North Dakota,1538.55,1344.974619,1681.218274,1185,5,0,4216.192893
Ohio,1568.1375,1344.974619,2046.700508,408,16,0,3815.675127
Oklahoma,1816.6725,1344.974619,1242.639594,992,11,0,3590.614213
Oregon,0,1344.974619,2265.989848,516,77,121,4324.964467
Pennsylvania,1656.9,1344.974619,2361.015228,432,22.5,612,4772.489847
Rhode Island,1656.9,1344.974619,2412.182741,480,51.5,19.5,4308.15736
South Carolina,1775.25,1344.974619,1228.020305,288,15,0,2875.994924
South Dakota,1183.5,1344.974619,1754.314721,804.7548,5,0,3909.04414
Tennessee,2159.8875,1344.974619,1564.263959,288,13,120,3330.238578
Texas,1716.075,1344.974619,1461.928934,609,13,327,3755.903553
Utah,1852.1775,1344.974619,1790.862944,516,6,337,3994.837563
Vermont,1538.55,1344.974619,1937.055838,924,33,60,4299.030457
Virginia,1242.675,1344.974619,1469.238579,549,10,360,3733.213198
Washington,1952.775,1344.974619,2741.116751,645,25.5,90,4846.59137
West Virginia,1538.55,1344.974619,2441.42132,360,10,148.32,4304.715939
Wisconsin,1361.025,1344.974619,2404.873096,900,69.5,0,4719.347715
Wyoming,1420.2,1344.974619,1023.350254,2345.805,9,9,4732.129873
