Date,Toyota Prius,Honda Insight
1/1/2000,0,51
2/1/2000,0,159
3/1/2000,0,187
4/1/2000,0,357
5/1/2000,0,380
6/1/2000,0,412
7/1/2000,841,354
8/1/2000,788,490
9/1/2000,981,446
10/1/2000,829,375
11/1/2000,989,291
12/1/2000,1134,286
1/1/2001,1298,294
2/1/2001,1198,340
3/1/2001,1378,424
4/1/2001,872,573
5/1/2001,1126,903
6/1/2001,1534,439
7/1/2001,1037,323
8/1/2001,1311,305
9/1/2001,862,300
10/1/2001,1580,264
11/1/2001,1580,242
12/1/2001,1780,319
1/1/2002,1954,237
2/1/2002,1481,221
3/1/2002,1763,232
4/1/2002,1834,239
5/1/2002,1648,190
6/1/2002,1369,178
7/1/2002,1411,133
