Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
0.002106372,0.001053186,0.012111638,0.001579779,0.299104792,0.032648763,0.01790416,0.000526593,0.025276461,0.01790416,0.001579779,0.003686151,0.031068984,0.007898894,0.004739336,0.004739336,0.004212744,0.002632965,0.005265929,0.030015798,0.038441285,0.014744602,0.021063718,0.000526593,0.011058452,0.001579779,0.003159558,0.003686151,0.006845708,0.020537125,0.007372301,0.030015798,0.021590311,0.000526593,0.023696682,0.003159558,0.048446551,0.025276461,0.003159558,0.003159558,0.001053186,0.005792522,0.036861506,0.003159558,0.003686151,0.056345445,0.073196419,0.001579779,0.022643497,0
0.004471772,0,0.022917831,0.000558971,0.325321409,0.026830632,0.01117943,0.001676914,0.034097261,0.010061487,0.004471772,0.0039128,0.034656233,0.008943544,0.005589715,0.007266629,0.005030743,0.001676914,0.007266629,0.017328116,0.040804919,0.013974287,0.027389603,0.001676914,0.01509223,0.001117943,0.002794857,0.0039128,0.008384572,0.017328116,0.010061487,0.055338178,0.012856344,0.000558971,0.018446059,0.005589715,0.042481833,0.020681945,0.001676914,0.004471772,0.004471772,0.004471772,0.034656233,0.002794857,0.005589715,0.032979318,0.053102292,0.001676914,0.017328116,0.000558971
0.005988024,0.002721829,0.027218291,0.001633097,0.275993468,0.041916168,0.010887316,0.000544366,0.034839412,0.018508438,0.001088732,0.002177463,0.02340773,0.014153511,0.003810561,0.007076756,0.004354927,0.003266195,0.007621121,0.025585193,0.039738704,0.021774633,0.015242243,0.000544366,0.014697877,0.001088732,0.004354927,0.005988024,0.009254219,0.027218291,0.008709853,0.038649973,0.014153511,0.000544366,0.026129559,0.002177463,0.041916168,0.01687534,0.003266195,0.003266195,0.000544366,0.00653239,0.047359826,0.00653239,0.003810561,0.046271094,0.05334785,0.000544366,0.020685901,0
0.006963042,0.000535619,0.018211034,0.002678093,0.28334226,0.038564542,0.008569898,0.000535619,0.036422067,0.008569898,0.00374933,0.005356186,0.037493305,0.00803428,0.005356186,0.006427424,0.007498661,0.004820568,0.004820568,0.029994644,0.032137118,0.019282271,0.033208356,0.001606856,0.018211034,0.001071237,0.00374933,0.006963042,0.006427424,0.026245313,0.005356186,0.063738618,0.014997322,0.000535619,0.01981789,0.002678093,0.026780932,0.016068559,0.001606856,0.001606856,0,0.009105517,0.041778254,0.005356186,0.003213712,0.04338511,0.043920728,0.002142475,0.026780932,0.000535619
0.003812636,0.002178649,0.024509804,0.001089325,0.343137255,0.031590414,0.01416122,0.002178649,0.046840959,0.012527233,0.003267974,0.003812636,0.031590414,0.011982571,0.003812636,0.003267974,0.002723312,0.003812636,0.004901961,0.025599129,0.030501089,0.011437908,0.013071895,0.001089325,0.010348584,0.000544662,0.001089325,0.005446623,0.009803922,0.017429194,0.006535948,0.045751634,0.015795207,0.000544662,0.020697168,0.003812636,0.027233115,0.013616558,0.003267974,0.001089325,0.000544662,0.004901961,0.065904139,0.004357298,0.004357298,0.040849673,0.04956427,0.000544662,0.011437908,0
0.004070556,0.002713704,0.021709634,0.000678426,0.310719132,0.029850746,0.008819539,0.00339213,0.036635007,0.011533243,0.00339213,0.00339213,0.033921303,0.013568521,0.005427408,0.005427408,0.006105834,0.004070556,0.004070556,0.02917232,0.040705563,0.010854817,0.024423338,0.000678426,0.010854817,0.001356852,0.001356852,0.013568521,0.005427408,0.010854817,0.004748982,0.049525102,0.016282225,0,0.023744912,0.00339213,0.024423338,0.023066486,0.001356852,0.00339213,0.000678426,0.006105834,0.053595658,0.002713704,0.000678426,0.045454545,0.052238806,0.000678426,0.026458616,0
0.00327654,0.002621232,0.019003932,0.003931848,0.345347313,0.045216252,0.011140236,0.001310616,0.038007864,0.011140236,0.001310616,0.003931848,0.025557012,0.01310616,0.005242464,0.004587156,0.00655308,0.001965924,0.004587156,0.033420708,0.02948886,0.020314548,0.011795544,0.001310616,0.014416776,0.000655308,0.00327654,0.011795544,0.003931848,0.01965924,0.004587156,0.023591088,0.012450852,0.000655308,0.023591088,0.001965924,0.022280472,0.017038008,0.003931848,0.005242464,0.001310616,0.005897772,0.031454784,0.005897772,0.000655308,0.064875491,0.055045872,0.001965924,0.0163827,0
0.005354752,0.001338688,0.021419009,0.000669344,0.291834003,0.02476573,0.010709505,0.000669344,0.041499331,0.009370817,0.000669344,0.004016064,0.03145917,0.018072289,0.004685408,0.005354752,0.007362784,0.000669344,0.007362784,0.03815261,0.046184739,0.013386881,0.022757697,0.002008032,0.013386881,0.001338688,0.002008032,0.010040161,0.004685408,0.018072289,0.00669344,0.038821954,0.018741633,0.000669344,0.022757697,0.005354752,0.036144578,0.023427041,0.004685408,0.004016064,0.000669344,0.004685408,0.040160643,0.004685408,0.005354752,0.072289157,0.027443106,0.002677376,0.018072289,0
0.004229607,0.001812689,0.01510574,0.001812689,0.275528701,0.032024169,0.014501511,0.001208459,0.035045317,0.01570997,0.004229607,0.002416918,0.033836858,0.009063444,0.007250755,0.010876133,0.007250755,0.003021148,0.006646526,0.038670695,0.037462236,0.013897281,0.01510574,0.00060423,0.008459215,0,0.002416918,0.010271903,0.010876133,0.024773414,0.008459215,0.042296073,0.017522659,0.00060423,0.017522659,0.003625378,0.03081571,0.025981873,0.003625378,0.004229607,0,0.005438066,0.039879154,0.005438066,0.004229607,0.071903323,0.058006042,0.00060423,0.012084592,0.001208459
0.002276608,0.001707456,0.02618099,0.002276608,0.265793967,0.036425726,0.018212863,0.001707456,0.039271485,0.013090495,0.00284576,0.00284576,0.030734206,0.011952191,0.006260672,0.005122368,0.006829824,0.003414912,0.007398976,0.053500285,0.030734206,0.011383039,0.016505407,0,0.009106431,0.000569152,0.002276608,0.006260672,0.007968127,0.025042686,0.00569152,0.045532157,0.013659647,0,0.027319294,0.002276608,0.028457598,0.024473534,0.003414912,0.004553216,0.001707456,0.007968127,0.031303358,0.007968127,0.00569152,0.06659078,0.045532157,0.001138304,0.021627775,0.001138304
