ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
4,2,23,3,568,62,34,1,48,34,3,7,59,15,9,9,8,5,10,57,73,28,40,1,21,3,6,7,13,39,14,57,41,1,45,6,92,48,6,6,2,11,70,6,7,107,139,3,43,0
8,0,41,1,582,48,20,3,61,18,8,7,62,16,10,13,9,3,13,31,73,25,49,3,27,2,5,7,15,31,18,99,23,1,33,10,76,37,3,8,8,8,62,5,10,59,95,3,31,1
11,5,50,3,507,77,20,1,64,34,2,4,43,26,7,13,8,6,14,47,73,40,28,1,27,2,8,11,17,50,16,71,26,1,48,4,77,31,6,6,1,12,87,12,7,85,98,1,38,0
13,1,34,5,529,72,16,1,68,16,7,10,70,15,10,12,14,9,9,56,60,36,62,3,34,2,7,13,12,49,10,119,28,1,37,5,50,30,3,3,0,17,78,10,6,81,82,4,50,1
7,4,45,2,630,58,26,4,86,23,6,7,58,22,7,6,5,7,9,47,56,21,24,2,19,1,2,10,18,32,12,84,29,1,38,7,50,25,6,2,1,9,121,8,8,75,91,1,21,0
6,4,32,1,458,44,13,5,54,17,5,5,50,20,8,8,9,6,6,43,60,16,36,1,16,2,2,20,8,16,7,73,24,0,35,5,36,34,2,5,1,9,79,4,1,67,77,1,39,0
5,4,29,6,527,69,17,2,58,17,2,6,39,20,8,7,10,3,7,51,45,31,18,2,22,1,5,18,6,30,7,36,19,1,36,3,34,26,6,8,2,9,48,9,1,99,84,3,25,0
8,2,32,1,436,37,16,1,62,14,1,6,47,27,7,8,11,1,11,57,69,20,34,3,20,2,3,15,7,27,10,58,28,1,34,8,54,35,7,6,1,7,60,7,8,108,41,4,27,0
7,3,25,3,456,53,24,2,58,26,7,4,56,15,12,18,12,5,11,64,62,23,25,1,14,0,4,17,18,41,14,70,29,1,29,6,51,43,6,7,0,9,66,9,7,119,96,1,20,2
4,3,46,4,467,64,32,3,69,23,5,5,54,21,11,9,12,6,13,94,54,20,29,0,16,1,4,11,14,44,10,80,24,0,48,4,50,43,6,8,3,14,55,14,10,117,80,2,38,2
