state,usetax,toll,genfunds,misc,bonds,fedgov,localgov,total,fedhighway,other,roads.streets,total,maint,admin.police,interest,bond.retire,grants,total
Alabama,735006,0,208887,7203,0,913484,2078,1866658,468161,317146,248344,1033651,177393,392002,0,13605,223414,1840065
Alaska,67049,45045,242768,4200,0,441337,0,800399,161211,80157,173481,414849,220729,124841,11824,18723,15430,806396
Arizona,813627,0,673417,29581,377461,907830,4754,2806670,121389,312172,720956,1154517,133191,382101,146957,188310,718080,2723156
Arkansas,534527,0,104008,22242,0,560655,23243,1244675,295139,175592,273839,744570,297815,121320,15175,162240,0,1341120
California,9845975,32399,2480482,268872,3664890,651491,269639,17213748,1032733,650484,2493771,4176988,1641942,2496188,418373,123039,7728401,16584931
Colorado,1380183,0,1000,28392,17292,698994,0,2125861,407563,106416,158892,672871,400256,357126,56193,119685,865289,2471420
Connecticut,319871,149,173480,79121,628468,548129,1573,1750791,494046,205675,60456,760177,114784,339358,173333,162579,31752,1581983
Delaware,153044,269559,58009,454486,202236,197621,5415,1340370,93377,98023,99246,290646,402683,137149,165881,152966,0,1149325
Dist. of Col.,10367,0,39651,0,239087,159734,0,448839,128683,119969,72725,321377,23973,30745,0,36535,0,412630
Florida,2203721,1076814,201214,769769,907955,2053518,244685,7457676,1122913,678403,2429796,4231112,927192,615022,430554,289934,395615,6889429
Georgia,648422,19940,553180,74620,112645,1686342,17031,3112180,467041,422094,511365,1400500,227666,606053,191364,324310,1650,2751543
Hawaii,175984,0,0,10986,0,183833,0,370803,150565,51528,13016,215109,39612,82971,18256,31027,27366,414341
Idaho,368428,0,0,47569,75520,416010,3991,911518,287210,56153,147574,490937,124609,65513,25682,19815,149973,876529
Illinois,1702206,683081,541082,37249,28125,1259225,829,4251797,1224946,1078659,113365,2416970,688297,509545,312096,141548,572420,4640876
Indiana,1018690,165767,78467,639343,54721,1139977,0,3096965,772421,422133,536148,1730702,585682,294021,245885,69776,282,2926348
Iowa,904153,0,336377,10784,0,563544,0,1814858,312535,189245,83239,585019,202615,174943,0,0,735854,1698431
Kansas,322333,84405,314439,26968,0,500011,22134,1270290,417221,258686,107480,783387,169037,132521,126534,119515,146734,1477728
Kentucky,1213559,0,4506,144563,61757,684228,0,2108613,541721,469848,274757,1286326,471418,117508,97906,37330,1748,2012236
Louisiana,723517,36727,163669,93869,438191,1206031,0,2662004,923937,457448,228296,1609681,165261,313698,133035,26834,1717,2250226
Maine,319442,133701,0,16496,22125,180747,0,672511,275806,5130,117531,398467,211599,46678,35192,13415,77,705428
Maryland,468036,338189,384740,47688,683497,499648,178593,2600391,582121,579714,259824,1421659,405375,189597,189765,154679,157545,2518620
Massachusetts,449829,310232,1024840,290765,684681,530545,0,3290892,860206,396209,89391,1345806,286495,477303,349534,295437,168447,2923022
Michigan,1554765,47952,228319,116198,0,1155746,17048,3120028,548327,142931,1454925,2146183,285529,323145,123551,100188,36609,3015205
Minnesota,588932,0,463910,300478,316051,759532,302145,2731048,661468,144575,433563,1239606,492018,280117,37050,12075,1041564,3102430
Mississippi,500726,0,49075,6162,0,612860,75918,1244741,428417,148872,278039,855328,108459,111946,37952,51613,96386,1261684
Missouri,924494,0,302274,24243,10062,1632797,23892,2917762,888987,196461,382532,1467980,524051,326310,156545,137015,253826,2865727
