Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
0.01551865,0.001935776,0.023355755,0.008422746,0.125955202,0.016823032,0.01112468,0.003894012,0.001069793,0.07359858,0.02956987,0.007622481,0.003084597,0.050657931,0.019297863,0.00702353,0.006328082,0.00950169,0.014230906,0.002911567,0.023186052,0.018866951,0.04492464,0.02740616,0.007394547,0.018394446,0.002398299,0.005899666,0.009192232,0.004577815,0.036639986,0.006064377,0.050392562,0.026252348,0.001745276,0.034430523,0.011454935,0.00866815,0.041875814,0.003166121,0.013983838,0.001814322,0.01687128,0.087071646,0.005449621,0.002025618,0.023409827,0.014839007,0.004800757,0.013512165
0.013485997,0.001594332,0.018614648,0.008965517,0.124952944,0.01648836,0.011522144,0.003261028,0.001185548,0.081099973,0.032446302,0.006090947,0.003453487,0.037389423,0.024520834,0.007250321,0.007446629,0.010403571,0.014856306,0.003607454,0.023722514,0.02261241,0.04630567,0.027028962,0.006756856,0.022346816,0.00226255,0.004802241,0.009820035,0.005307253,0.035890551,0.005692172,0.053014026,0.025299909,0.001814505,0.036114573,0.010445912,0.008957818,0.04333564,0.003470423,0.010030201,0.001759077,0.01710115,0.077965199,0.005001628,0.002151693,0.024763333,0.015298962,0.005334967,0.015181177
0.015240499,0.001710139,0.018289861,0.007724723,0.110128313,0.015594587,0.01197588,0.002481419,0.001033516,0.074829617,0.031463329,0.004612256,0.003040247,0.042428832,0.017404291,0.007079652,0.007013042,0.010085542,0.015124807,0.00346375,0.024882906,0.021337821,0.056020895,0.020021035,0.006320993,0.019778432,0.002057215,0.005358996,0.009026083,0.005137428,0.038601879,0.005769177,0.056353246,0.025994952,0.00157201,0.041064367,0.008416772,0.011067172,0.039577198,0.003313,0.009452391,0.001869303,0.017817277,0.089877296,0.00643388,0.002503155,0.028165755,0.015900294,0.005471182,0.019179638
0.013073461,0.002035156,0.017981657,0.008126931,0.11062128,0.01552619,0.01306867,0.003082511,0.00078449,0.072011511,0.030130981,0.004134658,0.003434368,0.04788263,0.021060061,0.006243745,0.006911177,0.010543379,0.014880663,0.004414638,0.025200196,0.022118369,0.053760143,0.023739374,0.00723223,0.020596623,0.00237606,0.004972543,0.006808495,0.005614647,0.041202145,0.006121896,0.058263772,0.025469222,0.001477935,0.041261016,0.00975752,0.010206582,0.039290208,0.003633571,0.012462846,0.002223406,0.016791916,0.078654347,0.005421605,0.002816223,0.024846285,0.016013587,0.005450356,0.018848292
0.0139128,0.002588981,0.018104358,0.008918631,0.131958714,0.01876747,0.011278862,0.003206476,0.001209205,0.073977696,0.029832787,0.00538159,0.003322835,0.046891239,0.017838584,0.005834464,0.007507781,0.009303408,0.015689915,0.003824632,0.024537805,0.023298849,0.045582203,0.018437567,0.006102221,0.017635617,0.002772775,0.004489727,0.008041974,0.00497169,0.038379864,0.006547822,0.053897224,0.02493911,0.001551009,0.038560352,0.011478523,0.010853756,0.040166895,0.003747941,0.011451416,0.00152258,0.016644585,0.08370026,0.006395101,0.002492457,0.024174184,0.015722971,0.005388863,0.015785778
0.012948625,0.002303429,0.017395233,0.007348619,0.117868779,0.016717873,0.011750788,0.002963956,0.001069906,0.079749417,0.029008664,0.006263227,0.003725482,0.040517056,0.022008825,0.007425378,0.006009385,0.010099806,0.013763343,0.002926924,0.024079958,0.024822631,0.054924767,0.016322634,0.007405178,0.017154184,0.002424627,0.004892346,0.008347153,0.005353571,0.04553464,0.006188488,0.060892405,0.024671807,0.001501505,0.0413412,0.006988393,0.010392027,0.040755412,0.003759148,0.012992391,0.001911557,0.018401174,0.074539937,0.007192409,0.002505425,0.023372972,0.015425771,0.005515841,0.017612042
0.013209048,0.001717514,0.017293723,0.007345019,0.128684144,0.016684241,0.012296101,0.003289671,0.000951199,0.074118324,0.030532735,0.005738435,0.003630113,0.040416411,0.020977389,0.008340208,0.007328443,0.010704818,0.013904597,0.004087862,0.022807747,0.021479765,0.046202662,0.015152887,0.006878982,0.020676474,0.002145936,0.005611566,0.008877648,0.005573314,0.038858918,0.005229047,0.05535955,0.025737849,0.001659499,0.046530354,0.007735827,0.009690503,0.041623261,0.003753157,0.013159958,0.002056682,0.016503819,0.079402835,0.005605191,0.002140836,0.026931311,0.015893063,0.005946271,0.017976521
0.016614596,0.001812649,0.01977316,0.008597135,0.1222081,0.014494951,0.010709916,0.002950156,0.001082598,0.077822226,0.030675884,0.00482957,0.003508614,0.045605746,0.022446895,0.007628725,0.007308625,0.00998548,0.015256201,0.003794395,0.025144341,0.024376851,0.045196418,0.022589785,0.007590662,0.021030471,0.002334292,0.005278209,0.008295754,0.004827699,0.035424338,0.00483581,0.052218639,0.026062209,0.001435144,0.03812428,0.010309323,0.009798911,0.043753787,0.003256528,0.009448861,0.001714061,0.0158053,0.08208273,0.00574931,0.002352388,0.026637515,0.012573731,0.005566486,0.01753808
0.012828326,0.002012385,0.020098669,0.008621527,0.114451256,0.01616959,0.012660687,0.00352689,0.001199373,0.077303073,0.028910859,0.00500686,0.003116787,0.054616435,0.016082533,0.008112135,0.008031554,0.010824574,0.013203175,0.003562145,0.02572716,0.021857078,0.044457379,0.020131766,0.005974561,0.018992109,0.002193694,0.005203998,0.008371148,0.005889662,0.038925299,0.005293933,0.05549348,0.025763854,0.001753372,0.03339034,0.013885961,0.009929541,0.04733386,0.003654958,0.011305187,0.002039006,0.018267593,0.082307775,0.00535293,0.002355577,0.024232801,0.017180459,0.005523447,0.015440037
0.014500015,0.002015873,0.024065806,0.006510227,0.114043836,0.01700437,0.012141498,0.004009792,0.001259235,0.089941178,0.030085982,0.004664499,0.002840726,0.044696553,0.018878325,0.007269217,0.006506306,0.009310965,0.012738968,0.004019985,0.024627993,0.02244119,0.049520221,0.018828928,0.007620486,0.015987417,0.002172689,0.004334401,0.009184728,0.005522284,0.038833193,0.00535998,0.0575006,0.023681607,0.001659116,0.040168483,0.005693214,0.010066819,0.049029386,0.003482889,0.010691732,0.002178178,0.016700147,0.075439595,0.005156903,0.002467504,0.023001808,0.015545195,0.005007927,0.019718076
0.012742081,0.002369973,0.021190787,0.007327647,0.119282485,0.019834398,0.01120688,0.003408574,0.001159971,0.093233161,0.030851347,0.005675706,0.003335381,0.045052657,0.020202217,0.006425241,0.006551244,0.007834439,0.013943745,0.003346499,0.02504871,0.021470588,0.04114007,0.020310617,0.008625666,0.017123475,0.002168924,0.004977129,0.009111149,0.005171693,0.040745384,0.006120424,0.053089072,0.026304111,0.001655646,0.03884329,0.011136466,0.008951792,0.039176828,0.003309439,0.010049688,0.001948418,0.017186477,0.079024438,0.008273598,0.001996596,0.024183364,0.014649734,0.004928025,0.016524959
