State,Sales Tax,Federal Fuel Tax,State Fuel Tax,Registration Fees,Title Fees,Inspection Fees,Total
Alabama,3131.6,477.4054054,542.2702703,276,15,0,1310.675676
Alaska,1467.9375,477.4054054,207.5675676,600,15,0,1299.972973
Arizona,3973.2175,477.4054054,492.972973,1675.8855,4,120,2770.263878
Arkansas,3425.1875,477.4054054,565.6216216,330,5,0,1378.027027
California,3327.325,477.4054054,1310.27027,552,18,0,2357.675675
Colorado,2505.28,477.4054054,570.8108108,3494.223375,9.05,310,4861.489591
Connecticut,2485.7075,477.4054054,1167.567568,480,25,130,2279.972973
Delaware,0,477.4054054,596.7567568,480,35,0,1589.162162
Florida,2642.2875,477.4054054,908.1081081,753,77.25,0,2215.763514
Georgia,2544.425,477.4054054,742.0540541,240,18,100,1577.45946
Hawaii,1663.6625,477.4054054,1266.162162,880.29,5,150,2778.857567
Idaho,2935.875,477.4054054,648.6486486,384,14,66,1590.054054
Illinois,3278.39375,477.4054054,1102.702703,1188,95,160,3023.108108
Indiana,2740.15,477.4054054,1068.972973,252.6,15,0,1813.978378
Iowa,2740.15,477.4054054,570.8108108,3935.139,25,0,5008.355216
Kansas,3444.76,477.4054054,648.6486486,420,10,20,1576.054054
Kentucky,2348.7,477.4054054,775.7837838,252,10,0,1515.189189
Louisiana,2886.94375,477.4054054,518.9189189,517.74,18.5,120,1652.564324
Maine,1957.25,477.4054054,817.2972973,420,33,222,1969.702703
Maryland,2348.7,477.4054054,609.7297297,2160,100,140,3487.135135
Massachusetts,2446.5625,477.4054054,609.7297297,210,75,348,1720.135135
Michigan,2348.7,477.4054054,1092.324324,1372.108,15,0,2956.837729
Minnesota,2886.94375,477.4054054,742.0540541,3349.414423,13.75,0,4582.623883
Mississippi,2789.08125,477.4054054,487.7837838,168,9,60,1202.189189
Missouri,3050.374125,477.4054054,448.8648649,657,11,432,2026.27027
Montana,0,477.4054054,721.2972973,1446,12,0,2656.702703
Nebraska,2544.425,477.4054054,703.1351351,180,10,10,1380.540541
Nevada,2926.08875,477.4054054,858.8108108,396,28.25,474,2234.466216
New Hampshire,0,477.4054054,508.5405405,518.4,25,240,1769.345946
New Jersey,2740.15,477.4054054,376.2162162,883,60,0,1796.621622
New Mexico,3131.6,477.4054054,490.3783784,667,3,180,1817.783784
New York,2544.425,477.4054054,1331.027027,835.59875,55,444,3143.031182
North Carolina,2838.0125,477.4054054,980.7567568,336,40,523.2,2357.362162
North Dakota,2544.425,477.4054054,596.7567568,1008,5,0,2087.162162
Ohio,2593.35625,477.4054054,726.4864865,408,16,0,1627.891892
Oklahoma,3004.37875,477.4054054,441.0810811,992,11,0,1921.486487
Oregon,0,477.4054054,804.3243243,516,77,121,1995.72973
Pennsylvania,2740.15,477.4054054,838.0540541,432,22.5,612,2381.95946
Rhode Island,2740.15,477.4054054,856.2162162,360,51.5,19.5,1764.621622
South Carolina,2935.875,477.4054054,435.8918919,288,15,0,1216.297297
South Dakota,1957.25,477.4054054,622.7027027,566.1,5,0,1671.208108
Tennessee,3571.98125,477.4054054,555.2432432,288,13,120,1453.648649
Texas,2838.0125,477.4054054,518.9189189,609,13,327,1945.324324
Utah,3063.09625,477.4054054,635.6756757,516,6,337,1972.081081
Vermont,2544.425,477.4054054,687.5675676,1464,33,60,2721.972973
Virginia,2055.1125,477.4054054,521.5135135,489,10,360,1857.918919
Washington,3229.4625,477.4054054,972.972973,525,25.5,90,2090.878378
West Virginia,2544.425,477.4054054,866.5945946,360,10,148.32,1862.32
Wisconsin,2250.8375,477.4054054,853.6216216,900,69.5,0,2300.527027
Wyoming,2348.7,477.4054054,363.2432432,3761.7675,9,9,4620.416149
